site_id,osm_id,confidence,review,match
23907,384231493,0.59,1,citta
27110,244702969,1,0,citta
36934,384904318,0.81,1,paese
23664,518968154,1,0,paese
23669,518968162,1,0,paese
23782,384244731,1,0,paese
23663,518968151,0.86,0,paese
37394,244702841,1,0,paese
26188,518911240,1,0,paese
25422,384079594,1,0,paese
25487,384227634,1,0,paese
25421,384911177,1,0,paese
24647,336009955,1,0,paese
42570,10712706906,1,0,paese
35728,116985886,0.5,1,citta
37226,376479329,0.57,1,citta
37082,376479321,0.5,1,citta
24790,116987487,0.96,0,paese
25125,116987488,1,0,paese
33764,370096811,1,0,paese
35002,321552376,0.83,1,paese
23873,640018902,0.83,1,citta
23900,2067021475,0.7,1,citta
23898,1463835569,0.8,1,citta
26103,641162304,0.68,1,citta
23899,3748706791,0.78,1,citta
26280,629617326,1,0,paese
43469,370371692,0.8,1,paese
27495,370376059,1,0,paese
40764,223916133,1,0,citta
38530,992565932,1,0,citta
31388,88562267,1,0,citta
35209,166907048,1,0,citta
37420,9211526418,0.84,1,citta
31390,125581965,0.67,1,citta
35961,125581964,0.62,1,citta
35553,503873369,0.8,1,citta
23018,526720285,0.63,1,citta
36193,255867667,0.76,1,paese
36186,4272397989,1,0,citta
36171,2089390360,1,0,citta
31356,9212432607,1,0,citta
27008,671842575,1,0,paese
36011,85736398,0.83,1,paese
23014,139571554,1,0,paese
31389,375429621,0.77,1,citta
37935,4842282108,1,0,citta
37414,9127099168,1,0,citta
27336,24823866,0.52,1,citta
25051,279278208,1,0,citta
40646,8793579852,0.9,1,citta
38207,255867667,0.79,1,paese
36167,297190840,0.75,1,citta
31386,322311164,0.54,1,citta
35037,321836536,0.55,1,citta
38639,322311164,0.54,1,citta
31352,404717568,1,0,citta
38566,397186297,0.6,1,citta
31354,2503411596,0.8,1,paese
40068,6699682364,0.8,1,citta
42113,1073685885,0.96,0,citta
28361,439775023,0.67,1,citta
37415,450110559,1,0,citta
34315,2503033177,0.75,1,paese
36214,669506458,0.57,1,citta
31357,2503411596,0.83,1,paese
23194,1867369763,0.53,1,citta
36198,931607573,0.53,1,citta
40689,2503411596,0.8,1,paese
31394,6576371100,0.62,1,citta
25043,34749685,0.82,1,paese
31393,217367908,1,0,citta
34641,2059168193,1,0,citta
42058,1026513370,0.74,1,citta
37814,2503411596,0.86,0,paese
31395,178326113,0.62,1,citta
26109,178404716,0.73,1,citta
24668,5540874621,0.76,1,citta
23228,6536292015,0.59,1,citta
35552,6536292015,0.66,1,citta
39306,5852089885,0.5,1,citta
36536,129431482,0.73,1,citta
35588,223404550,1,0,paese
37277,473203132,0.51,1,citta
29192,331008948,0.51,1,citta
37936,1215213308,1,0,paese
25084,58867143,1,0,paese
44406,412348536,0.75,1,citta
25082,96773158,0.76,1,paese
29794,25108216,0.71,1,citta
31391,613862668,0.57,1,citta
29602,34964120,0.58,1,citta
36174,393278585,0.54,1,citta
31396,26607033,1,0,citta
41908,288575662,1,0,citta
23096,232355322,0.9,1,citta
25081,940480081,0.8,1,citta
39304,4787287991,1,0,paese
36534,2503411596,0.8,1,paese
